Ward,Tony Evers / Sara Rodriguez,Tim Michels / Roger Roth,Joan Ellis Beglinger / No Cand.,WRITE-IN,
1,City of Milwaukee Ward 1 ,625,131,7,0
2,City of Milwaukee Ward 2 ,189,14,4,0
3,City of Milwaukee Ward 3 ,426,82,5,1
4,City of Milwaukee Ward 4 ,853,107,9,1
5,City of Milwaukee Ward 5 ,444,75,4,3
6,City of Milwaukee Ward 6 ,747,185,10,0
7,City of Milwaukee Ward 7 ,261,119,5,0
8,City of Milwaukee Ward 8 ,775,164,4,0
9,City of Milwaukee Ward 9 ,479,74,2,1
10,City of Milwaukee Ward 10 ,653,201,7,1
11,City of Milwaukee Ward 11 ,605,107,8,0
12,City of Milwaukee Ward 12 ,420,73,6,1
13,City of Milwaukee Ward 13 ,279,67,5,2
14,City of Milwaukee Ward 14 ,617,28,10,0
15,City of Milwaukee Ward 15 ,421,149,5,0
16,City of Milwaukee Ward 16 ,823,90,13,2
17,City of Milwaukee Ward 17 ,372,86,5,0
18,City of Milwaukee Ward 18 ,488,98,8,0
19,City of Milwaukee Ward 19 ,337,63,2,0
20,City of Milwaukee Ward 20 ,562,71,5,1
21,City of Milwaukee Ward 21 ,226,27,2,1
22,City of Milwaukee Ward 22 ,382,32,4,1
23,City of Milwaukee Ward 23 ,332,16,2,0
24,City of Milwaukee Ward 24 ,118,8,0,0
25,City of Milwaukee Ward 25 ,312,28,3,0
26,City of Milwaukee Ward 26 ,180,27,3,0
27,City of Milwaukee Ward 27 ,325,48,4,0
28,City of Milwaukee Ward 28 ,227,36,4,0
29,City of Milwaukee Ward 29 ,370,40,6,0
30,City of Milwaukee Ward 30 ,298,45,1,1
31,City of Milwaukee Ward 31 ,349,34,4,0
32,City of Milwaukee Ward 32 ,547,136,3,1
33,City of Milwaukee Ward 33 ,1073,498,11,2
34,City of Milwaukee Ward 34 ,256,37,2,0
35,City of Milwaukee Ward 35 ,675,289,12,0
36,City of Milwaukee Ward 36 ,415,55,4,2
37,City of Milwaukee Ward 37 ,321,33,7,0
38,City of Milwaukee Ward 38 ,285,24,2,0
39,City of Milwaukee Ward 39 ,374,68,5,0
40,City of Milwaukee Ward 40 ,360,19,3,0
41,City of Milwaukee Ward 41 ,573,46,4,5
42,City of Milwaukee Ward 42 ,567,48,4,0
43,City of Milwaukee Ward 43 ,547,39,7,1
44,City of Milwaukee Ward 44 ,476,43,5,0
45,City of Milwaukee Ward 45 ,528,34,5,0
46,City of Milwaukee Ward 46 ,256,20,1,1
47,City of Milwaukee Ward 47 ,316,11,1,0
48,City of Milwaukee Ward 48 ,672,50,8,1
49,City of Milwaukee Ward 49 ,476,32,5,0
50,City of Milwaukee Ward 50 ,333,26,7,1
51,City of Milwaukee Ward 51 ,454,9,7,0
52,City of Milwaukee Ward 52 ,456,108,4,0
53,City of Milwaukee Ward 53 ,434,15,2,0
54,City of Milwaukee Ward 54 ,527,11,4,0
55,City of Milwaukee Ward 55 ,407,17,4,0
56,City of Milwaukee Ward 56 ,907,33,7,2
57,City of Milwaukee Ward 57 ,459,11,5,0
58,City of Milwaukee Ward 58 ,416,10,2,0
59,City of Milwaukee Ward 59 ,355,14,3,0
60,City of Milwaukee Ward 60 ,328,3,3,1
61,City of Milwaukee Ward 61 ,557,36,6,0
62,City of Milwaukee Ward 62 ,667,28,6,0
63,City of Milwaukee Ward 63 ,311,4,4,1
64,City of Milwaukee Ward 64 ,326,5,1,3
65,City of Milwaukee Ward 65 ,383,38,1,0
66,City of Milwaukee Ward 66 ,609,40,10,1
67,City of Milwaukee Ward 67 ,729,43,5,0
68,City of Milwaukee Ward 68 ,428,31,0,0
69,City of Milwaukee Ward 69 ,543,42,7,2
70,City of Milwaukee Ward 70 ,645,63,7,0
71,City of Milwaukee Ward 71 ,454,49,7,0
72,City of Milwaukee Ward 72 ,419,65,1,6
73,City of Milwaukee Ward 73 ,387,34,4,0
74,City of Milwaukee Ward 74 ,350,62,4,0
75,City of Milwaukee Ward 75 ,604,103,5,1
76,City of Milwaukee Ward 76 ,615,130,5,4
77,City of Milwaukee Ward 77 ,606,196,12,0
78,City of Milwaukee Ward 78 ,311,158,4,0
79,City of Milwaukee Ward 79 ,848,347,8,0
80,City of Milwaukee Ward 80 ,372,158,1,1
81,City of Milwaukee Ward 81 ,421,156,4,1
82,City of Milwaukee Ward 82 ,216,65,3,1
83,City of Milwaukee Ward 83 ,911,385,19,4
84,City of Milwaukee Ward 84 ,510,32,2,1
85,City of Milwaukee Ward 85 ,884,239,15,0
86,City of Milwaukee Ward 86 ,482,137,3,0
87,City of Milwaukee Ward 87 ,485,127,8,0
88,City of Milwaukee Ward 88 ,776,68,7,0
89,City of Milwaukee Ward 89 ,660,134,10,3
90,City of Milwaukee Ward 90 ,630,170,6,1
91,City of Milwaukee Ward 91 ,225,12,3,0
92,City of Milwaukee Ward 92 ,440,34,9,0
93,City of Milwaukee Ward 93 ,617,79,5,1
94,City of Milwaukee Ward 94 ,420,143,3,0
95,City of Milwaukee Ward 95 ,456,17,2,0
96,City of Milwaukee Ward 96 ,689,71,6,2
97,City of Milwaukee Ward 97 ,438,14,4,1
98,City of Milwaukee Ward 98 ,595,24,5,1
99,City of Milwaukee Ward 99 ,710,34,6,1
100,City of Milwaukee Ward 100 ,291,17,4,0
101,City of Milwaukee Ward 101 ,634,23,1,1
102,City of Milwaukee Ward 102 ,231,4,4,0
103,City of Milwaukee Ward 103 ,288,10,1,0
104,City of Milwaukee Ward 104 ,553,10,4,0
105,City of Milwaukee Ward 105 ,415,9,3,1
106,City of Milwaukee Ward 106 ,278,2,3,0
107,City of Milwaukee Ward 107 ,245,2,2,1
108,City of Milwaukee Ward 108 ,305,10,1,0
109,City of Milwaukee Ward 109 ,310,4,1,0
110,City of Milwaukee Ward 110 ,293,5,3,1
111,City of Milwaukee Ward 111 ,524,6,9,1
112,City of Milwaukee Ward 112 ,214,5,2,0
113,City of Milwaukee Ward 113 ,290,7,3,0
114,City of Milwaukee Ward 114 ,249,11,3,0
115,City of Milwaukee Ward 115 ,366,11,5,1
116,City of Milwaukee Ward 116 ,276,11,3,0
117,City of Milwaukee Ward 117 ,404,10,1,0
118,City of Milwaukee Ward 118 ,405,13,1,1
119,City of Milwaukee Ward 119 ,759,43,6,2
120,City of Milwaukee Ward 120 ,397,26,5,0
121,City of Milwaukee Ward 121 ,676,69,5,0
122,City of Milwaukee Ward 122 ,681,44,7,0
123,City of Milwaukee Ward 123 ,892,143,8,0
124,City of Milwaukee Ward 124 ,947,120,13,0
125,City of Milwaukee Ward 125 ,715,105,1,1
126,City of Milwaukee Ward 126 ,593,108,10,1
127,City of Milwaukee Ward 127 ,778,218,5,1
128,City of Milwaukee Ward 128 ,1085,278,6,0
129,City of Milwaukee Ward 129 ,617,69,8,0
130,City of Milwaukee Ward 130 ,609,64,5,1
131,City of Milwaukee Ward 131 ,891,113,8,3
132,City of Milwaukee Ward 132 ,772,78,8,1
133,City of Milwaukee Ward 133 ,514,60,10,0
134,City of Milwaukee Ward 134 ,752,32,4,0
135,City of Milwaukee Ward 135 ,1139,58,5,2
136,City of Milwaukee Ward 136 ,243,14,2,0
137,City of Milwaukee Ward 137 ,353,18,2,3
