Ward,Mandela Barnes,Ron Johnson,WRITE-IN,
1,City of Milwaukee Ward 1 ,652,136,0
2,City of Milwaukee Ward 2 ,192,16,0
3,City of Milwaukee Ward 3 ,435,83,5
4,City of Milwaukee Ward 4 ,866,112,3
5,City of Milwaukee Ward 5 ,454,76,0
6,City of Milwaukee Ward 6 ,744,204,0
7,City of Milwaukee Ward 7 ,266,124,0
8,City of Milwaukee Ward 8 ,772,173,1
9,City of Milwaukee Ward 9 ,477,83,0
10,City of Milwaukee Ward 10 ,656,207,2
11,City of Milwaukee Ward 11 ,617,109,2
12,City of Milwaukee Ward 12 ,422,80,1
13,City of Milwaukee Ward 13 ,284,74,0
14,City of Milwaukee Ward 14 ,630,31,0
15,City of Milwaukee Ward 15 ,422,152,4
16,City of Milwaukee Ward 16 ,833,99,3
17,City of Milwaukee Ward 17 ,377,89,0
18,City of Milwaukee Ward 18 ,487,105,1
19,City of Milwaukee Ward 19 ,346,60,2
20,City of Milwaukee Ward 20 ,588,65,1
21,City of Milwaukee Ward 21 ,231,29,0
22,City of Milwaukee Ward 22 ,391,36,0
23,City of Milwaukee Ward 23 ,336,18,1
24,City of Milwaukee Ward 24 ,121,8,0
25,City of Milwaukee Ward 25 ,316,37,0
26,City of Milwaukee Ward 26 ,180,31,0
27,City of Milwaukee Ward 27 ,328,52,0
28,City of Milwaukee Ward 28 ,236,41,0
29,City of Milwaukee Ward 29 ,378,41,1
30,City of Milwaukee Ward 30 ,309,45,0
31,City of Milwaukee Ward 31 ,358,40,1
32,City of Milwaukee Ward 32 ,551,144,0
33,City of Milwaukee Ward 33 ,1063,516,2
34,City of Milwaukee Ward 34 ,265,39,0
35,City of Milwaukee Ward 35 ,680,305,1
36,City of Milwaukee Ward 36 ,417,60,2
37,City of Milwaukee Ward 37 ,331,38,0
38,City of Milwaukee Ward 38 ,284,27,0
39,City of Milwaukee Ward 39 ,384,72,3
40,City of Milwaukee Ward 40 ,370,23,0
41,City of Milwaukee Ward 41 ,589,52,4
42,City of Milwaukee Ward 42 ,573,55,1
43,City of Milwaukee Ward 43 ,564,42,0
44,City of Milwaukee Ward 44 ,491,50,0
45,City of Milwaukee Ward 45 ,537,35,0
46,City of Milwaukee Ward 46 ,267,20,0
47,City of Milwaukee Ward 47 ,323,10,0
48,City of Milwaukee Ward 48 ,694,46,0
49,City of Milwaukee Ward 49 ,489,34,1
50,City of Milwaukee Ward 50 ,338,27,1
51,City of Milwaukee Ward 51 ,467,10,1
52,City of Milwaukee Ward 52 ,453,117,1
53,City of Milwaukee Ward 53 ,437,15,0
54,City of Milwaukee Ward 54 ,545,7,0
55,City of Milwaukee Ward 55 ,415,15,0
56,City of Milwaukee Ward 56 ,931,34,0
57,City of Milwaukee Ward 57 ,465,11,0
58,City of Milwaukee Ward 58 ,430,11,0
59,City of Milwaukee Ward 59 ,370,13,0
60,City of Milwaukee Ward 60 ,331,3,1
61,City of Milwaukee Ward 61 ,569,36,1
62,City of Milwaukee Ward 62 ,687,31,0
63,City of Milwaukee Ward 63 ,315,8,1
64,City of Milwaukee Ward 64 ,335,5,1
65,City of Milwaukee Ward 65 ,389,38,0
66,City of Milwaukee Ward 66 ,632,38,1
67,City of Milwaukee Ward 67 ,733,46,1
68,City of Milwaukee Ward 68 ,435,31,1
69,City of Milwaukee Ward 69 ,557,44,2
70,City of Milwaukee Ward 70 ,654,66,0
71,City of Milwaukee Ward 71 ,459,53,0
72,City of Milwaukee Ward 72 ,424,70,4
73,City of Milwaukee Ward 73 ,390,37,1
74,City of Milwaukee Ward 74 ,360,62,1
75,City of Milwaukee Ward 75 ,609,116,0
76,City of Milwaukee Ward 76 ,610,143,6
77,City of Milwaukee Ward 77 ,608,202,1
78,City of Milwaukee Ward 78 ,306,164,1
79,City of Milwaukee Ward 79 ,823,373,2
80,City of Milwaukee Ward 80 ,372,166,1
81,City of Milwaukee Ward 81 ,415,165,2
82,City of Milwaukee Ward 82 ,210,75,2
83,City of Milwaukee Ward 83 ,910,397,3
84,City of Milwaukee Ward 84 ,520,32,0
85,City of Milwaukee Ward 85 ,893,248,3
86,City of Milwaukee Ward 86 ,494,128,0
87,City of Milwaukee Ward 87 ,483,137,1
88,City of Milwaukee Ward 88 ,786,74,1
89,City of Milwaukee Ward 89 ,662,143,4
90,City of Milwaukee Ward 90 ,615,193,1
91,City of Milwaukee Ward 91 ,240,9,0
92,City of Milwaukee Ward 92 ,458,36,0
93,City of Milwaukee Ward 93 ,623,80,0
94,City of Milwaukee Ward 94 ,416,162,0
95,City of Milwaukee Ward 95 ,464,19,0
96,City of Milwaukee Ward 96 ,707,74,2
97,City of Milwaukee Ward 97 ,449,14,1
98,City of Milwaukee Ward 98 ,619,23,0
99,City of Milwaukee Ward 99 ,715,34,1
100,City of Milwaukee Ward 100 ,298,18,0
101,City of Milwaukee Ward 101 ,656,18,1
102,City of Milwaukee Ward 102 ,242,2,0
103,City of Milwaukee Ward 103 ,293,9,0
104,City of Milwaukee Ward 104 ,562,13,0
105,City of Milwaukee Ward 105 ,429,6,0
106,City of Milwaukee Ward 106 ,290,2,0
107,City of Milwaukee Ward 107 ,252,5,0
108,City of Milwaukee Ward 108 ,315,9,0
109,City of Milwaukee Ward 109 ,315,3,0
110,City of Milwaukee Ward 110 ,308,4,0
111,City of Milwaukee Ward 111 ,536,6,1
